modelo,precio_actual,precio_anterior,marca,descuento_soles,descuento_porcentaje
"Celular Honor Magic 7 Lite 256GB 8GB 6.7"" Titanium Negro",1319.0,1749.0,Honor,430.0,24.6
"Celular Honor X8C ABR-LX3 8GB 256GB 6"" Midnight Black",799.0,1319.0,Honor,520.0,39.4
"Celular Honor 400 Lite 12GB 256GB 6.7"" Amber-N33D Velvet Grey + Earbuds X7",1199.0,1399.0,Honor,200.0,14.3
"Celular Honor X6b 256GB 6GB 6"" Starry Purple",529.0,599.0,Honor,70.0,11.7
"Celular Honor Magic 7 Lite 5G BRP-NX3 8GB 512GB 6"" Titanium Black",1499.0,2039.0,Honor,540.0,26.5
"Celular Honor 400 Lite 12GB 256GB 6.7"" Amber-N33D Velvet Grey",1199.0,1399.0,Honor,200.0,14.3
"Celular Honor X8C ABR-LX3 8GB 256GB 6"" Cloud Purple",799.0,1319.0,Honor,520.0,39.4
"Celular Honor X7C ALT-LX3 8GB 256GB 6"" Forest Green",749.0,1079.0,Honor,330.0,30.6
"Celular Honor X7C ALT-LX3 8GB 256GB 6"" Midnight Black",749.0,1079.0,Honor,330.0,30.6
"Celular Honor X7C ALT-LX3 8GB 256GB 6"" Moonlight White",749.0,1079.0,Honor,330.0,30.6
Celular Honor 200 Pro 12GB 256GB Negro + Audífonos Wireless Charger,2699.0,3399.0,Honor,700.0,20.6
"Celular Honor Magic 7 Lite 5G BRP-NX3 8GB 512GB 6"" Titanium Purple",1499.0,2039.0,Honor,540.0,26.5
"Celular Honor X8C ABR-LX3 8GB 256GB 6"" Marrs Green",799.0,1319.0,Honor,520.0,39.4
"Celular Honor Magic 7 Lite 256GB 8GB 6.7"" Jade Cyan",1319.0,1749.0,Honor,430.0,24.6
"Celular Honor Magic 7 Lite 256GB 8GB 6.7"" Titanium P rpura",1319.0,1749.0,Honor,430.0,24.6
"Celular Honor Magic 7 Lite 512GB 8GB 6.7"" Titanium Negro",1479.0,1799.0,Honor,320.0,17.8
"Celular Honor Magic 7 Lite 512GB 8GB 6.7"" Jade Cyan",1479.0,1799.0,Honor,320.0,17.8
"Celular Honor Magic 7 Lite 512GB 8GB 6.7"" Titanium P rpura",1479.0,1799.0,Honor,320.0,17.8
"Celular Honor X8c 256GB 8GB 6.7"" Verde",969.0,1409.0,Honor,440.0,31.2
"Celular Honor X7c 256GB 8GB 6.7"" Verde",849.0,1289.0,Honor,440.0,34.1
"Celular Honor X7c 256GB 8GB 6.7"" Negro",849.0,1289.0,Honor,440.0,34.1
"Celular Honor X7c 256GB 8GB 6.7"" Blanco",849.0,1289.0,Honor,440.0,34.1
"Celular Honor X8c 256GB 8GB 6.7"" Negro",969.0,1409.0,Honor,440.0,31.2
"Celular Honor X8c 256GB 8GB 6.7"" P rpura",969.0,1409.0,Honor,440.0,31.2
