modelo,precio_actual,precio_anterior,marca,descuento_soles,descuento_porcentaje
"Celular Motorola Moto G75 8GB 256GB 6.78"" Gris",749.0,1049.0,Motorola,300.0,28.6
"Celular Motorola Moto Edge 50 12GB 256GB 6.7"" Gris + Moto Buds",1199.0,1999.0,Motorola,800.0,40.0
"Celular Motorola Moto Edge 50 Fusion 8GB 256GB 6.7"" Verde",849.0,1499.0,Motorola,650.0,43.4
"Celular Motorola Moto Edge 50 Fusion 8GB 256GB 6.7"" Azul",849.0,1399.0,Motorola,550.0,39.3
"Celular Motorola Moto G05 4GB 128GB 6.7"" Verde",369.0,499.0,Motorola,130.0,26.1
"Celular Motorola Moto G05 4GB 128GB 6.7"" Rojo",369.0,499.0,Motorola,130.0,26.1
"Celular Motorola G24 4GB 256GB 6.6"" Gris",499.0,599.0,Motorola,100.0,16.7
"Celular Motorola G34 5G 8GB 256GB 6.5"" Verde",699.0,799.0,Motorola,100.0,12.5
"Celular Motorola G34 5G 8GB 256GB 6.5"" Negro",699.0,799.0,Motorola,100.0,12.5
Celular Motorola G15 4GB 256GB Gris,559.0,859.0,Motorola,300.0,34.9
Celular Motorola G05 4GB 64GB Verde,389.0,689.0,Motorola,300.0,43.5
Celular Motorola G05 4GB 64GB Rojo,389.0,689.0,Motorola,300.0,43.5
"Celular Motorola Razr 50 Ultra 512GB 12GB 6.9"" Azul Medianoche + Moto Buds Plus",3919.0,4219.0,Motorola,300.0,7.1
"Celular Motorola G24 4GB 256GB 6.6"" Lavanda + Mica de Hidrogel",618.0,638.0,Motorola,20.0,3.1
"Celular Motorola G24 4GB 256GB 6.6"" Lavanda + Mica de Hidrogel",518.0,638.0,Motorola,120.0,18.8
"Celular Motorola Moto G75 8GB 256GB 6.78""",749.0,1049.0,Motorola,300.0,28.6
"Celular Motorola Moto G75 8GB 256GB 6.78"" Azul",749.0,1049.0,Motorola,300.0,28.6
"Celular Motorola E14 2GB 64GB 6.6""",399.0,,Motorola,,0.0
"Celular Motorola Edge 50+ Buds 256GB 12GB 6.7"" Gris-Carbón",2809.0,,Motorola,,0.0
"Celular Motorola G84 5G 256GB 8GB 6.5"" Magenta",799.0,999.0,Motorola,200.0,20.0
"Celular Motorola G84 5G 256GB 8GB 6.5"" Negro Espacial",799.0,1399.0,Motorola,600.0,42.9
"Celular Motorola Moto G52 128GB 6GB 6.6"" Negro",1418.0,1468.0,Motorola,50.0,3.4
"Celular Motorola Moto G52 128GB 6GB 6.6"" Negro",1418.0,1468.0,Motorola,50.0,3.4
Celular Motorola E22 Single SIM 4GB 128GB Negro,668.0,688.0,Motorola,20.0,2.9
