modelo,marca,precio_actual,precio_anterior,descuento_soles,descuento_porcentaje
Consola Nintendo Switch 2 LED 256GB Negro,Nintendo,2499.0,2999.0,500.0,16.7
Consola Nintendo Switch Oled 64GB Neón Versión Japón,Nintendo,1199.0,2199.0,1000.0,45.5
Consola Nintendo Switch Oled 64GB Versión Japón Blanco,Nintendo,1199.0,2199.0,1000.0,45.5
Consola Nintendo Switch 2 256GB + Videojuego Mario Karl World,Nintendo,2799.0,2999.0,200.0,6.7
Consola Nintendo Switch Oled 64GB Versión Japón Blanco,Nintendo,1249.0,2499.0,1250.0,50.0
Consola Nintendo Switch Oled Blanco + Videojuego Pokémon Violet,Nintendo,1499.0,2099.0,600.0,28.6
Consola Nintendo Switch Oled Blanco + Videojuego Super Mario Bros Wonder + Videojuego Mario Kart 8 Deluxe + Mica,Nintendo,1699.0,2199.0,500.0,22.7
Consola Nintendo Switch Lite Amarillo + Videojuego Pokémon Legends Arceus,Nintendo,1269.0,1899.0,630.0,33.2
Consola Nintendo Switch Oled Blanco + Videojuego Pokémon Violet + Mica,Nintendo,1499.0,2099.0,600.0,28.6
Consola Nintendo Switch Oled Blanco + Videojuego Super Mario RPG,Nintendo,1499.0,2099.0,600.0,28.6
Consola Nintendo Switch Oled Blanco + Videojuego Pokémon Violet + Videojuego Pokémon Scarlet + Mica,Nintendo,1699.0,2299.0,600.0,26.1
Consola Nintendo Switch Oled Blanco + Videojuego Super Mario RPG + Videojuego Mario Kart 8 Deluxe,Nintendo,1699.0,2299.0,600.0,26.1
Consola Nintendo Switch Oled Blanco + Videojuego Crash Bandicoot 4 + Mica de vidrio,Nintendo,1399.0,2779.0,1380.0,49.7
Consola Nintendo Switch Oled Blanco + Videojuego Zelda Tears of the Kingdom + Mica,Nintendo,1499.0,2099.0,600.0,28.6
Consola Nintendo Switch Oled Blanco + Videojuego Zelda Tears of the Kingdom,Nintendo,1499.0,2099.0,600.0,28.6
Consola Nintendo Switch Blanco + Videojuego Mario vs Donkey Kong + Mica,Nintendo,1519.0,2099.0,580.0,27.6
Consola Nintendo Switch Oled Blanco + Videojuego Hogwarts Legacy,Nintendo,1399.0,2099.0,700.0,33.3
Consola Nintendo Switch Oled Blanco + Videojuego Mortal Kombat 1 + Mica,Nintendo,1499.0,2099.0,600.0,28.6
Consola Nintendo Switch Oled Blanco + Videojuego Mortal Kombat 1,Nintendo,1499.0,2049.0,550.0,26.8
Consola Nintendo Switch Oled Blanco + Videojuego Hogwarts Legacy + Mica,Nintendo,1499.0,2099.0,600.0,28.6
Consola Nintendo Switch Oled Blanco + Videojuego Detective Pikachu Returns,Nintendo,1499.0,2199.0,700.0,31.8
Consola Nintendo Switch Oled Blanco + Videojuego Hyrule Warriors Age of Calamity,Nintendo,1499.0,2199.0,700.0,31.8
Consola Nintendo Switch Oled Blanco + Videojuego Hyrule Warriors Age of Calamity + Mica,Nintendo,1499.0,2199.0,700.0,31.8
Consola Nintendo Switch Oled Blanco + Videojuego Detective Pikachu Returns + Mica,Nintendo,1499.0,2199.0,700.0,31.8
