modelo,precio_actual,precio_anterior,marca,descuento_soles,descuento_porcentaje
"Celular Samsung Galaxy A56 256GB 12GB 6.7""",1649.0,2059.0,Samsung,410.0,19.9
"Celular Samsung Galaxy S25 Ultra 256GB 12GB 6.9"" Titanio Gris",3999.0,5269.0,Samsung,1270.0,24.1
"Celular Samsung Galaxy S25 Ultra 512GB 12GB 6.9"" Titanio Negro",4349.0,5739.0,Samsung,1390.0,24.2
"Celular Samsung Galaxy A16 4GB 128GB 6.7"" Negro",499.0,799.0,Samsung,300.0,37.5
"Celular Samsung Galaxy A36 5G 128GB 6GB 6.7"" Negro",1299.0,1899.0,Samsung,600.0,31.6
"Celular Samsung Galaxy A06 4G 64GB 4GB 6.7"" Negro",329.0,409.0,Samsung,80.0,19.6
"Celular Samsung Galaxy A36 5G 256GB 8GB 6.7"" Negro",1199.0,1699.0,Samsung,500.0,29.4
"Celular Samsung Galaxy S25 Ultra 5G 12GB 512GB 6.9"" Titanium Gray",5499.0,7438.0,Samsung,1939.0,26.1
"Celular Samsung Galaxy A56 128GB 8GB 6.7"" Rosado",1299.0,1899.0,Samsung,600.0,31.6
"Celular Samsung Galaxy A36 5G 256B 8GB 6.7"" Violeta",1199.0,1699.0,Samsung,500.0,29.4
"Celular Samsung Galaxy S25 5G 12GB 256GB 6.2"" Icy blue",3599.0,4978.0,Samsung,1379.0,27.7
"Celular Samsung Galaxy A56 128GB 8GB 6.7"" Negro",1299.0,1899.0,Samsung,600.0,31.6
"Celular Samsung Galaxy A36 5G 128GB 6GB 6.7"" Violeta",1299.0,1899.0,Samsung,600.0,31.6
"Celular Samsung S24 Plus 512GB 6.7"" Cobalt Violet",5299.0,5499.0,Samsung,200.0,3.6
"Celular Samsung Galaxy A55 256B 8GB 6.6"" Negro",1699.0,1899.0,Samsung,200.0,10.5
"Celular Samsung Galaxy A56 256B 8GB 6.7"" Negro",1699.0,1999.0,Samsung,300.0,15.0
Celular Samsung Galaxy A16 de 8GB+ 256GB SM-A165MZKFLTP,749.0,899.0,Samsung,150.0,16.7
"Celular Samsung Galaxy A56 256B 8GB 6.7"" Rosado",1699.0,1999.0,Samsung,300.0,15.0
"Celular Samsung Galaxy S25 5G 12GB 128GB 6.2"" Navy",3299.0,4678.0,Samsung,1379.0,29.5
"Celular Samsung Galaxy S25 5G 12GB 256GB 6.2"" Silver Shadow",3599.0,4978.0,Samsung,1379.0,27.7
"Celular Samsung Galaxy S25 Ultra 5G 12GB 256GB 6.9"" Titanium Black",4999.0,6838.0,Samsung,1839.0,26.9
"Celular Samsung Galaxy S25 Plus 5G 12GB 512GB 6.7"" Silver Shadow",4449.0,6358.0,Samsung,1909.0,30.0
"Celular Samsung Galaxy S25 Plus 5G 12GB 512GB 6.7"" Icy blue",4449.0,6358.0,Samsung,1909.0,30.0
"Celular Samsung Galaxy S25 Plus 5G 12GB 512GB 6.7"" Navy",4449.0,6358.0,Samsung,1909.0,30.0
