modelo,marca,precio_actual,precio_anterior,descuento_soles,descuento_porcentaje
Consola PlayStation 5 Sony Slim Edición Digital,Sony,1999.0,3599.0,1600.0,44.5
Consola PlayStation 5 Sony Slim + Videojuego Returnal + Videojuego Ratchet & Clank,Sony,1999.0,3449.0,1450.0,42.0
Consola PlayStation 5 Sony Slim Edición Digital NBA 2K25,Sony,2099.0,3599.0,1500.0,41.7
Consola PlayStation 5 Sony Slim con Lectora de Discos,Sony,2199.0,3599.0,1400.0,38.9
Consola Sony Playstation 5 Slim Lectora de Discos + Mando Dualsense Chroma Pearl + FC 25,Sony,2969.0,3699.0,730.0,19.7
Consola PlayStation 5 Sony Slim Edición Digital,Sony,1999.0,3599.0,1600.0,44.5
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Mortal Kombat 1 + Videojuego Street fighter 6 + Videojuego Dragon Ball Z Kakarot,Sony,2899.0,3999.0,1100.0,27.5
Consola PlayStation 5 Sony Slim Digital Edición 30th Aniversary CFI-2015,Sony,3579.0,3799.0,220.0,5.8
Consola PlayStation 5 Sony Slim con Lectora de Discos,Sony,2489.0,3349.0,860.0,25.7
Consola Sony Playstation 5 Slim Lectora de Discos + Mando Dualsense Chroma Teal + FC 25,Sony,2969.0,3699.0,730.0,19.7
Consola PlayStation 5 Sony Slim Digital Bundle + Videojuego Returnal + Videojuego Ratchet y Clank,Sony,2519.0,2999.0,480.0,16.0
Consola PlayStation 5 Sony Slim Sony Lectora de Discos + Mando Dualsense Blanco + Videojuego EA Sports FC 25,Sony,2869.0,3439.0,570.0,16.6
Consola PlayStation 5 Sony Slim Edición Digital,Sony,2439.0,2999.0,560.0,18.7
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego EA Sports UFC 5,Sony,2659.0,3669.0,1010.0,27.5
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Spider-Man Ring Morales Ultimate,Sony,2629.0,3699.0,1070.0,28.9
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Super Bomberman 2,Sony,2599.0,3599.0,1000.0,27.8
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Demon Slayer,Sony,2749.0,3599.0,850.0,23.6
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Tekken 8,Sony,2689.0,3999.0,1310.0,32.8
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Star Wars Jedi Survivor,Sony,2669.0,3599.0,930.0,25.8
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego The Last of US 1 + Videojuego The Last of US 2,Sony,2859.0,3999.0,1140.0,28.5
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Mortal Kombat 1 + Videojuego Mortal Kombat 11 Ultimate,Sony,2759.0,3999.0,1240.0,31.0
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego Elden Ring + Videojuego God of War Ragnarok,Sony,2829.0,3899.0,1070.0,27.4
Consola PlayStation 5 Sony Slim con Lectora de Discos + Videojuego The Last of US 2,Sony,2689.0,3699.0,1010.0,27.3
