modelo,precio_actual,precio_anterior,marca,descuento_soles,descuento_porcentaje
"Celular Xiaomi Poco X7 Pro 512GB 12GB 6.67"" Negro",1449.0,1999.0,Xiaomi,550.0,27.5
"Celular Xiaomi Redmi 13X 256GB 8GB 6.78"" Negro",599.0,699.0,Xiaomi,100.0,14.3
"Celular Xiaomi Redmi 13X 256GB 8GB 6.78"" Azul",599.0,699.0,Xiaomi,100.0,14.3
"Celular Xiaomi Redmi Note 14 Pro Midnight 8GB 256GB 6.7"" Negro",1199.0,1399.0,Xiaomi,200.0,14.3
"Celular Xiaomi Redmi A5 4GB 128GB 6.88"" Midnight Black",369.0,399.0,Xiaomi,30.0,7.5
"Celular Xiaomi Redmi 14C 8GB 256GB 6.88"" Azul",499.0,699.0,Xiaomi,200.0,28.6
"Celular Xiaomi Redmi 14C 8GB 256GB 6.88"" Negro",499.0,699.0,Xiaomi,200.0,28.6
"Celular Xiaomi Redmi 14C 8GB 256GB 6.88"" Verde",499.0,699.0,Xiaomi,200.0,28.6
"Celular Xiaomi Redmi 14C 4GB 256GB 6.88"" Negro",479.0,799.0,Xiaomi,320.0,40.1
"Celular Xiaomi Redmi Note 14 8GB 256GB 6.7"" Azul",879.0,999.0,Xiaomi,120.0,12.0
"Celular Xiaomi Redmi Note 14 8GB 256GB 6.7"" Negro",879.0,999.0,Xiaomi,120.0,12.0
"Celular Xiaomi Redmi Note 14 Pro 8GB 256GB 6.7"" Azul",1199.0,1399.0,Xiaomi,200.0,14.3
Celular Xiaomi14T 12GB 512GBR Negro,2099.0,2399.0,Xiaomi,300.0,12.5
"Celular Xiaomi Redmi Note 14 Pro 5G 8GB 256GB 6.7"" Negro",1399.0,1699.0,Xiaomi,300.0,17.7
"Celular Xiaomi Redmi Note 14 Pro+ 5G 8GB 256GB 6.7"" Negro",1859.0,1999.0,Xiaomi,140.0,7.0
Celular Xiaomi Redmi A3 3GB 64GB Azul,259.0,499.0,Xiaomi,240.0,48.1
"Celular Xiaomi Redmi 14C 4GB 256GB 6.88"" Negro",479.0,609.0,Xiaomi,130.0,21.3
"Celular Xiaomi Redmi 14C 4GB 256GB 6.88"" Verde",479.0,609.0,Xiaomi,130.0,21.3
"Celular Xiaomi Redmi 14C 4GB 256GB 6.88"" Azul",479.0,799.0,Xiaomi,320.0,40.1
Celular Xiaomi Redmi A3 3GB 64GB Negro,259.0,549.0,Xiaomi,290.0,52.8
"Celular Xiaomi Poco X7 Pro 512GB 12GB 6.67"" Amarillo",1469.0,1999.0,Xiaomi,530.0,26.5
"Celular Xiaomi Redmi Note 14 Pro 5G 256GB 8GB 6.67"" Green",1199.0,1489.0,Xiaomi,290.0,19.5
"Celular Xiaomi Redmi Note 14 Pro 5G 256GB 8GB 6.67"" Negro",1199.0,1489.0,Xiaomi,290.0,19.5
"Celular Xiaomi Redmi Note 14 Pro 4G 256GB 8GB 6.67"" Negro",1069.0,1349.0,Xiaomi,280.0,20.8
